header city,IdKey,Name,Icon,Art,AncientName,Region,MapPixelX,MapPixelY,MaxPopulation_Pre1800,PrimaryProducts,CommonlyAvailableAnimals,UncommonlyAvailableAnimals,Desc
city,37,Sardis,Sardis,Sardis,Sardis,Asia (Anatolia),1149,1172,100000,Electrum Coins;Gold Jewelry;Woven Carpets;Murex Dye,Human;Donkey;Mule;Ox;Riding Horse;Heavy Warhorse,Dromedary Camel,"The wealthy capital of the ancient Kingdom of Lydia, where coinage was first invented, situated on a key crossroads of Anatolian trade."
city,38,Tarsus,Tarsus,Tarsus,Tarsus,Asia (Anatolia),1306,1208,50000,Goat-hair Cloth;Linen;Wheat,Human;Donkey;Mule;Ox;Pack Goat;Dromedary Camel,Riding Horse,"The capital of Roman Cilicia, a center of learning and the primary producer of cilicium, a durable cloth made from goat hair."
city,39,Damascus,Damascus,Damascus,Damascus,Asia (Levant),1337,1286,100000,Damascus Steel;Inlaid Wood Box;Dried Apricots;Blown Glass,Human;Donkey;Dromedary Camel;Riding Horse,Mule;Tamed Onager,"One of the world's oldest continuously inhabited cities, a vital oasis and trade hub connecting Mesopotamia with the Mediterranean coast."
city,40,Jerusalem,Jerusalem,Jerusalem,Aelia Capitolina,Asia (Levant),1313,1325,100000,Olive Oil;Wine;Balsam Oil;Religious Trinkets,Human;Donkey;Dromedary Camel;Pack Goat,Mule,"A city of immense religious significance to multiple faiths, drawing pilgrims from across the world and exporting local holy goods."
city,41,Sidon,Sidon,Sidon,Sidon,Asia (Levant),1316,1285,40000,Blown Glass;Tyrian Purple Dye;Cedar Timber;Salted Fish,Human;Donkey;Dromedary Camel;Pack Goat,Mule;Riding Horse,"A great Phoenician port city, sister and rival to Tyre, renowned for its skilled glassblowers and maritime trade network."
city,42,Byblos,Byblos,Byblos,Byblos,Asia (Levant),1323,1272,10000,Papyrus;Cedar Timber;Pine Resin,Human;Donkey;Dromedary Camel;Pack Goat,Mule,"An ancient port city so intertwined with the papyrus trade that the Greek word for book, 'biblos', derives from its name."
city,43,Dura-Europos,DuraEuropos,DuraEuropos,Dura-Europos,Asia (Mesopotamia),1438,1258,15000,Textiles;Perfumed Oils;Bronze Armor,Human;Dromedary Camel;Donkey,Tamed Onager;Bactrian Camel,"A fortress city on the Euphrates, a multicultural crossroads between the Roman and Parthian empires, perfectly preserved by the desert sands."
city,44,Nineveh,Nineveh,Nineveh,Nineveh,Asia (Mesopotamia),1494,1221,150000,Barley;Glazed Bricks;Cuneiform Tablets,Human;Donkey;Ox;Riding Horse;Dromedary Camel,Tamed Onager;Heavy Warhorse,"The magnificent capital of the formidable Assyrian Empire, one of the largest cities in the world at its height."
city,45,Persepolis,Persepolis,Persepolis,Parsa,Asia (Persia),1715,1367,20000,Polished Stonework;Gold Rhytons,Human;Donkey;Ox;Riding Horse;Heavy Warhorse,Dromedary Camel,"The grand ceremonial capital of the Achaemenid Persian Empire, built to inspire awe and receive the tribute of subject nations."
city,46,Susa,Susa,Susa,Shushan,Asia (Persia),1609,1316,80000,Woven Carpets;Tyrian Purple Dye;Bitumen;Glazed Bricks,Human;Donkey;Ox;Riding Horse;Dromedary Camel,Tamed Onager;Water Buffalo,"A major administrative capital of the Persian and later empires, strategically located between the Mesopotamian lowlands and the Iranian plateau."
city,47,Ctesiphon,Ctesiphon,Ctesiphon,Tisfun,Asia (Mesopotamia),1526,1295,500000,Silk Fabric;Barley;Silver Coins;Fine Glassware,Human;Donkey;Dromedary Camel;Water Buffalo;Riding Horse,Bactrian Camel;Heavy Warhorse;Asian Elephant,"The sprawling winter capital of the Parthian and Sasanian Empires, famed for its colossal vaulted arch, the largest single-span brick arch in the world."
city,48,Hatra,Hatra,Hatra,Hatra,Asia (Mesopotamia),1484,1240,20000,Limestone Statues;Gold Jewelry,Human;Dromedary Camel;Donkey,Riding Horse;Tamed Onager,"A fortified desert city that grew wealthy as a religious and trade center, known for its unique blend of Greek, Roman, and Parthian art."
city,49,Luxor,Luxor,Luxor,Waset/Thebae,North Africa,1254,1464,80000,Wheat;Papyrus;Linen;Gold Bullion;Sandstone,Human;Donkey;Ox;Dromedary Camel,Riding Horse;Ridden Ostrich,"The great capital of New Kingdom Egypt, a vast religious complex centered on the monumental temples of Karnak and Luxor."
city,50,Cyrene,Cyrene,Cyrene,Cyrene,North Africa,1009,1301,50000,Silphium;Barley;Raw Wool,Human;Donkey;Dromedary Camel;Riding Horse,Mule;Ridden Ostrich,"A prosperous Greek colony in Libya, whose wealth was founded on the cultivation and trade of the now-extinct, highly valuable plant Silphium."
city,51,Volubilis,Volubilis,Volubilis,Volubilis,North Africa,385,1273,15000,Wheat;Olive Oil;Garum,Human;Donkey;Dromedary Camel;Mule,Riding Horse,"An important Roman provincial city on the western frontier of Africa, a center for the region's agricultural wealth."
city,52,Cherchell,Cherchell,Cherchell,Caesarea Mauretaniae,North Africa,561,1215,30000,Wheat;Salted Fish;Cedar Timber;Marble,Human;Donkey;Mule,Riding Horse,"The capital of the Roman province of Mauretania, a bustling port city with a distinct Greco-Roman character."
city,53,Samarkand,Samarkand,Samarkand,Marakanda,Asia (Central Asia),2034,1146,150000,Sogdian Paper;Peaches;Rubies,Human;Bactrian Camel;Riding Horse;Heavy Warhorse;Pony,Dromedary Camel;Donkey,"A legendary oasis city on the Silk Road, a Sogdian center of trade connecting China, India, and Persia."
city,54,Bukhara,Bukhara,Bukhara,Bukhara,Asia (Central Asia),1976,1143,80000,Raw Cotton;Brass Lamps;Woven Carpets;Melons,Human;Bactrian Camel;Donkey;Riding Horse,Pony;Dromedary Camel,"Another major Silk Road city, renowned for its crafts, carpets, and as a center of learning and culture in Central Asia."
city,55,Merv,Merv,Merv,Margiana,Asia (Central Asia),1917,1191,200000,Watered Steel;Silk Fabric;Glazed Pottery;Melons,Human;Bactrian Camel;Donkey;Riding Horse;Heavy Warhorse,Dromedary Camel,"A massive oasis city in the Karakum Desert, a vital stop on the Silk Road and one of the largest cities in the world at its peak."
city,56,Taxila,Taxila,Taxila,Takshashila,Asia (India),2167,1280,30000,Lapis Lazuli;Turquoise;Raw Cotton,Human;Zebu;Water Buffalo;Asian Elephant;Riding Horse,Pony;Bactrian Camel;Yak,"A bustling crossroads of cultures and learning in ancient India, where Greek, Persian, and Indian influences converged around a great university."
city,57,Pataliputra,Pataliputra,Pataliputra,Pataliputra,Asia (India),2448,1466,400000,Muslin;Polished Stonework;Steel Swords;Rice,Human;Zebu;Water Buffalo;Asian Elephant,Riding Horse,"The grand capital of the Mauryan Empire in India, a massive and sophisticated city on the banks of the Ganges."
city,58,Muziris,Muziris,Muziris,Muziris,Asia (India),2244,1817,10000,Black Pepper;Malabathron;Pearls;Ivory;Beryl,Human;Zebu;Water Buffalo,Asian Elephant,"A legendary port on the Malabar Coast of India, which vanished from history. It was the epicenter of the lucrative spice trade with the Roman Empire."
city,59,Berenice,Berenice,Berenice,Berenice Troglodytica,North Africa,1319,1503,4000,Gold Bullion;Myrrh;Spices,Human;Dromedary Camel;Donkey,Asian Elephant,"A key Ptolemaic and Roman port on the Red Sea, built to secure the trade route for war elephants and spices from the East."
city,60,Hegra,Hegra,Hegra,Hegra (Mada'in Salih),Asia (Arabia),1375,1439,2000,Frankincense;Myrrh;Dates;Rock Salt,Human;Dromedary Camel;Donkey,Riding Horse,"The southern sister-city to Petra, a Nabataean caravan city known for its spectacular rock-cut tombs, controlling the Incense Route."
city,61,Milan,Milan,Milan,Mediolanum,Europe (Italy),709,1014,100000,Imperial Armor;Iron Weapons;Fine Glassware;Wheat,Human;Donkey;Mule;Ox;Draft Horse;Riding Horse,Heavy Warhorse,A major city in northern Italy that grew in importance to become an administrative center and de facto capital of the late Western Roman Empire.
city,62,Bordeaux,Bordeaux,Bordeaux,Burdigala,Europe (Gaul),498,1028,20000,Wine;Oysters;Tin Ingot,Human;Donkey;Ox;Draft Horse;Draft Dog,Mule,"A flourishing port city in southwestern Gaul, the center of a major wine-producing region whose goods were shipped across the empire."
city,63,York,York,York,Eburacum,Europe (Britannia),487,821,25000,Jet Pendants;Wheat;Woolen Textiles;Lead Ingots,Human;Donkey;Ox;Draft Dog;Pony,Riding Horse,"A rugged legionary fortress and administrative capital on the northern frontier of Roman Britain, guarding against the untamed tribes beyond."
city,64,Brindisi,Brindisi,Brindisi,Brundisium,Europe (Italy),919,1124,40000,Oysters;Fine Wool;Naval Supplies;Wine,Human;Donkey;Mule;Ox,Riding Horse;Pack Goat,"The primary Roman port of embarkation for Greece and the East, marking the terminus of the great Via Appia."
city,65,Tangier,Tangier,Tangier,Tingis,North Africa,379,1234,20000,Murex Dye;Salted Fish;Salt;Hides,Human;Donkey;Mule;Dromedary Camel,Riding Horse,The capital of the Roman province of Mauretania Tingitana and a key port controlling the Strait of Gibraltar.
city,66,Seleucia,Seleucia,Seleucia,Seleucia,Asia (Mesopotamia),1525,1295,600000,Bitumen;Wheat;Barley;Silver Coins,Human;Donkey;Dromedary Camel;Water Buffalo;Ox,Mule;Tamed Onager;Asian Elephant,"A great Hellenistic metropolis founded on the Tigris, which for centuries rivaled Babylon and Alexandria in size and commercial importance."
city,67,Hamadan,Hamadan,Hamadan,Ecbatana,Asia (Persia),1616,1256,50000,Silverware;Woven Carpets,Human;Donkey;Mule;Riding Horse;Heavy Warhorse;Pack Goat,Bactrian Camel,"The ancient capital of the Medes, located at a high altitude on a key leg of the Silk Road connecting Mesopotamia to Central Asia."
city,68,Artaxata,Artaxata,Artaxata,Artaxata,Asia (Armenia),1527,1144,150000,Naphtha;Salted Fish;Arsenic,Human;Mule;Pony;Riding Horse;Heavy Warhorse;Pack Goat,Ox,"The grand capital of ancient Armenia, strategically located on the Araxes River at a crossroads between the Roman, Parthian, and Caucasian worlds."
city,69,Bharuch,Bharuch,Bharuch,Barygaza,Asia (India),2171,1554,30000,Agate Beads;Carnelian Beads;Fine Cotton;Spikenard,Human;Zebu;Water Buffalo,Donkey;Asian Elephant,"A major trade port in Gujarat, India, known to Greco-Roman geographers as a vital center for the lucrative Indian Ocean trade."
city,70,Plovdiv,Plovdiv,Plovdiv,Philippopolis,Europe (Thrace),1075,1089,100000,Wheat;Cedar Timber;Marble,Human;Donkey;Mule;Ox;Riding Horse;Pony,Pack Goat,"A large, prosperous city in the Roman province of Thrace, strategically located on the major military road to the East."
city,71,Solin,Solin,Solin,Salona,Europe (Dalmatia),886,1058,60000,Wheat;Olive Oil;Limestone;Wine,Human;Donkey;Mule;Ox;Pack Goat,Pony,"The bustling capital of the Roman province of Dalmatia, a major port on the Adriatic coast."
