header itemtypesettings,Id,GenSameStatPercent,GenSameStatBonusPct,GenGlobalScalingPercent,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,17,Dagger,,,Dagger,Dagger,0,0,2,5,mainhand,3,0,Dagger;Knife;Carver;Blade;Shiv;Fang;Tooth
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,30,,,,,,,,,,,
effect,rolescaling,healing,30,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,18,2HSword,,,SwordTwo,SwordTwo,0,0,3,17,mainhand,3,1,Sword;Blade;Longsword;Bastard Sword;Two-Handed Sword;Claymore;Greatblade
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,40,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,19,2HAxe,,,AxeTwo,AxeTwo,0,0,5,15,mainhand,3,1,Axe;Greataxe;Ripper;Reaver;Crescent;Cleaver;Edge;Reaper;Butcher;Battle Axe;Decapitator;Executor
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,20,,,,,,,,,,,
effect,rolescaling,healing,20,,,,,,,,,,,
effect,rolescaling,ranged,20,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,20,2HMace,,,MaceTwo,MaceTwo,0,0,7,13,mainhand,3,1,Hammer;Mace;Maul;Fist;Smasher;Pummeler;Breaker;Crusher;Bludgeon;Shillelagh;Rod
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,healing,50,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,21,Staff,,,Staff,Staff,0,0,4,10,mainhand,3,1,Staff;Rod;Greatstaff;Stick;Scythe;Quarterstaff
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,30,,,,,,,,,,,
effect,rolescaling,healing,30,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,22,Polearm,,,Polearm,Polearm,0,0,1,19,mainhand,3,1,Polearm;Halberd;Scythe;Glaive;Poleaxe;Longspear;Pike
effect,rolescaling,melee,100,,,,,,,,,,,
effect,rolescaling,spelldam,20,,,,,,,,,,,
effect,rolescaling,healing,20,,,,,,,,,,,
effect,rolescaling,ranged,20,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,23,Shield,,,Shield,Shield,8,2,1,5,offhand,3,0,Shield;Aegis;Disk;Defender;Blocker;Guard;Buckler
effect,rolescaling,defense,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,24,Orb,,,Orb,Orb,0,4,1,4,offhand,3,0,Stone;Focus;Crystal;Fetish;Orb;Cane;Rod
effect,rolescaling,spelldam,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,25,Tome,,,Tome,Tome,0,4,1,3,offhand,3,0,Tome;Libram;Lexicon;Book;Grimoire
effect,rolescaling,healing,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,26,Quiver,,,Quiver,Quiver,2,2,1,4,offhand,3,0,Quiver;Holder;Pouch;
effect,rolescaling,ranged,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,27,Bow,,,Bow,Bow,0,0,3,14,ranged,3,0,Bow;Longbow;Crossbow;Longbow;Recurve Bow;Hunting Bow;Shooter
effect,rolescaling,ranged,100,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,28,Thrown,,,Thrown,Thrown,0,0,1,7,ranged,3,0,Wand;Zapper;Eldrich Branch
effect,rolescaling,ranged,100,,,,,,,,,,,
effect,rolescaling,melee,50,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,29,Wand,,,Wand,Wand,0,0,1,9,ranged,3,0,Wand;Stalk;Torch;Touch;Rod
effect,rolescaling,ranged,100,,,,,,,,,,,
effect,rolescaling,spelldam,50,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,30,Gun,,,Gun,Gun,0,0,1,5,ranged,3,0,Rifle;Gun;Musket;Longrifle;Shotgun
effect,rolescaling,ranged,100,,,,,,,,,,,
effect,rolescaling,defense,50,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
itemtype,31,Sling,,,Sling,Sling,0,0,1,4,ranged,3,0,Sling
effect,rolescaling,ranged,100,,,,,,,,,,,
effect,rolescaling,healing,50,,,,,,,,,,,
