,,Fighter,Hunter,Mage,Cleric,Skirmisher,Paladin,Spellblade,Ranger,Warden,Sage,Warchief,Beastmaster,Conjurer,Zealot,Human,Elf,Dwarf,Half-Orc,Gnome,Halfling,Lizardman
StrengthBonus,,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
IntellectBonus,,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
DevotionBonus,,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
AgilityBonus,,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
StaminaBonus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LuckBonus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WillpowerBonus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeadershipBonus,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,
Sword,10,x,x,x,,,x,,x,x,x,x,x,x,,,,,,,,
Axe,7,x,x,,,,x,,x,x,,x,x,,,,,,,,,
Mace,9,x,,,x,,x,x,x,x,x,x,,,x,,,,,,,
Dagger,13,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,,,
2HSword,7,x,x,,,x,,,x,x,,x,x,,,,,,,,,
2HAxe,7,x,x,,,x,,,x,x,,x,x,,,,,,,,,
2HMace,6,x,,,,x,,x,x,x,,x,,,,,,,,,,
Staff,12,x,x,x,x,x,,x,x,,x,x,x,x,x,,,,,,,
Polearm,7,x,x,,,x,,x,x,,,x,x,,,,,,,,,
Bow,7,x,x,,,x,x,,x,,,x,x,,,,,,,,,
Thrown,7,x,,,,x,x,x,x,x,,x,,,,,,,,,,
Wand,6,,,x,x,,x,,,,x,,,x,x,,,,,,,
Spear,7,x,x,,,x,,x,x,,,x,x,,,,,,,,,
Orb,4,,,x,,x,,,,,x,,,x,,,,,,,,
Tome,5,,,,x,,x,x,,x,,,,,x,,,,,,,
Quiver,6,x,x,,,,x,,x,,,x,x,,,,,,,,,
Gun,7,x,x,,,x,x,,x,,,x,x,,,,,,,,,
Sling,6,,,x,x,,x,,,,x,,,x,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Defend,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
Hide,2,,x,,,,,,,,,,x,,,,,,,,,
Charge,2,x,,,,,,,,,,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Attack,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
Pummel,7,x,x,,,x,x,x,,,,x,x,,,,,,,,,
Bladestorm,5,x,,,,x,x,x,,,,x,,,,,,,,,,
Whirlwind,1,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shoot,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
Rapid Fire,7,x,x,,,x,,,x,x,,x,x,,,,,,,,,
Multishot,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Volley,1,,x,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cleanse Area,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Reveal Area,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Teleport,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Town Portal,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Beacon,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Jump,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Pass Wall,5,,,,x,,x,,,x,x,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Summon Scrapper,,,,,,,,,,,,x,,,,,,,,,,
Summon Bear,,,,,,,,,,,,,x,,,,,,,,,
Summon Elemental,,,,,,,,,,,,,,x,,,,,,,,
Summon Monk,,,,,,,,,,,,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Light,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
Magic Compass,9,,x,x,,x,,x,x,x,x,,x,x,,,,,,,,
Levitate,9,,,x,x,,x,x,x,x,x,,,x,x,,,,,,,
Danger Sense,9,x,x,,,x,x,x,x,x,,x,x,,,,,,,,,
Mapping,9,x,,,x,x,x,x,,x,x,x,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Autoheal,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Barrier,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Retaliate,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Cursed Arrows,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Parry,5,x,,,,x,x,x,,,,x,,,,,,,,,,
Apply DoT,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Lifesteal,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Command,5,x,,,,x,x,x,,,,x,,,,,,,,,,
,,5,5,5,5,8,8,9,8,9,8,5,5,5,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Atrophy,,,,x,,,,x,x,,x,,,x,,,,,,,,
Hamstring,,x,,,,x,x,x,,,,x,,,,,,,,,,
Warp Mind,,,,,x,,x,,,x,x,,,,x,,,,,,,
Dust Cloud,,,x,,,x,,,x,x,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Curse,,,,,x,,x,,,x,x,,,,x,,,,,,,
Wither,,,,x,,,,x,x,,x,,,x,,,,,,,,
Feint,,,x,,,x,,,x,x,,,x,,,,,,,,,
Distract,,x,,,,x,x,x,,,,x,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Enrage,,x,,,,,,,,,,x,,,,,,,,,,
Icy Grasp,,,,x,,,,,,,,,,x,,,,,,,,
Silence,,,,,x,,,,,,,,,,x,,,,,,,
Flashbang,,,x,,,,,,,,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Heal Wounds,7,,,x,x,,x,,,x,x,,,x,x,,,,,,,
Heal Party,1,,,,x,,,,,,,,,,,,,,,,,
Cure,7,,,x,x,,x,,,x,x,,,x,x,,,,,,,
Cure Party,1,,,,x,,,,,,,,,,,,,,,,,
Rejuvenate,,,,,x,,x,,,x,x,,,,x,,,,,,,
Restoration,,,,,x,,,,,,,,,,,,,,,,,
First Aid,,x,x,,,x,,x,x,,,x,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Fireball,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Fire Blast,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Flamestrike,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Firestorm,1,,,x,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Frostbolt,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Icy Blast,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Cone of Cold,5,,,x,,,,x,x,,x,,,x,,,,,,,,
Blizzard,1,,,x,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Lightning Bolt,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Electric Blast,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Chain Lightning,5,,x,,,x,,,x,x,,,x,,,,,,,,,
Lightning Storm,1,,x,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Holy Beam,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Light Blast,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Holy Nova,5,,,,x,,x,,,x,x,,,,x,,,,,,,
Holy Storm,1,,,,x,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Poison Arrow,,,x,,,x,,,x,x,,,x,,,,,,,,,
Poison Blast,,,x,,,x,,,x,x,,,x,,,,,,,,,
Poison Spray,,,x,,,x,,,x,x,,,x,,,,,,,,,
Plaguestorm,,,x,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
