spellheaders,IdKey,Name,Desc,UnlockTier,BaseCost,TierCost,CombatActionId,RoleScalingTypeId,AttackQuantityScale,MinRange,MaxRange,TargetTypeId,ItemEnchantWeight
spell,30,Town Portal,Teleport to a town on the overworld map.,1,25,0,cast,mobility,1,0,100,special,0.1
effect,specialmagic,town portal,0,0,1,,arcane,,,,,,
spell,31,Pass Wall,Pass through a wall in front of you if the square behind it exists.,1,50,0,cast,mobility,1,0,100,special,0.1
effect,specialmagic,pass wall,0,0,1,,earth,,,,,,
spell,32,Identify Item,Find out the stats an item has.,3,10,0,cast,divination,1,0,100,special,0.1
effect,specialmagic,identify item,0,0,1,,arcane,,,,,,
spell,33,Jump,Jump forward 1-9 squares if you are not impeded by anything.,5,10,0,cast,mobility,1,0,100,special,0.1
effect,specialmagic,Jump,0,0,1,,electric,,,,,,
spell,34,Teleport,Move to a different location in the current map.,8,25,0,cast,mobility,1,0,100,special,0.1
effect,specialmagic,Teleport,0,0,1,,electric,,,,,,
spell,35,Beacon,Set a beacon or return to a location.,5,1,0,cast,mobility,1,0,100,special,0.1
effect,specialmagic,beacon,0,0,1,,earth,,,,,,
spell,37,Identify Monster,Get some information about a monster.,3,0,0,cast,divination,1,0,100,special,0
effect,specialmagic,identify monster,0,0,1,,arcane,,,,,,
spell,38,Pick Lock,Open a locked door or chest.,1,0,0,cast,divination,1,0,100,special,0
effect,specialmagic,pick lock,0,0,1,,melee,,,,,,
spell,39,Cleanse Area,Disarm traps and negate nearby room effects.,2,50,5,cast,divination,1,0,100,special,0.1
effect,specialmagic,cleanse area,0,0,1,,light,,,,,,
spell,80,Reveal Area,Reveal surrounding map cells.,2,2,0,cast,divination,1,0,100,special,1
effect,specialmagic,reveal area,0,0,1,,fire,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Party Buffs,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,81,Light,Create a light to let you see.,1,2,1,cast,divination,1,,,world,1
effect,partybuff,light,0,0,1,,fire,,,,,,
spell,82,Magic Compass,Gives you a compass.,3,2,1,cast,divination,1,,,world,1
effect,partybuff,magic compass,0,0,1,,earth,,,,,,
spell,83,Levitate,Lets you float over many traps.,2,2,1,cast,mobility,1,,,world,1
effect,partybuff,levitate,0,0,1,,electric,,,,,,
spell,84,Danger Sense,Alerts you to traps nearby.,4,2,1,cast,divination,1,,,world,1
effect,partybuff,danger sense,0,0,1,,earth,,,,,,
spell,85,Mapping,Lets you map the area you're in.,1,2,1,cast,divination,1,,,world,1
effect,partybuff,mapping,0,0,1,,electric,,,,,,
spell,87,Autoheal,Sometimes heals your party members.,2,15,4,cast,healing,1,,,world,0.1
effect,partybuff,autoheal,0,0,1,,light,,,,,,
spell,88,Barrier,Sometimes you avoid incoming damage.,3,15,3,cast,healing,1,,,world,0.1
effect,partybuff,barrier,0,0,1,,melee,,,,,,
spell,89,Retaliate,Retaliate damage toward your attacker.,4,20,2,cast,spelldam,1,,,world,0.1
effect,partybuff,retaliate,0,0,1,,melee,,,,,,
spell,90,Cursed Arrows,Chance to debuff enemies with ranged attacks.,3,20,2,cast,spelldam,1,,,world,0.1
effect,partybuff,Cursed Arrows,0,0,1,,shadow,,,,,,
spell,91,Parry,Gives a chance to use your weapon to deflect an attack.,4,20,2,cast,healing,1,,,world,0.1
effect,partybuff,parry,0,0,1,,melee,,,,,,
spell,92,Apply DoT,Chance to apply a DoT to enemies when damaging them.,3,20,2,cast,spelldam,1,,,world,0.1
effect,partybuff,ApplyDot,0,0,1,,shadow,,,,,,
spell,93,Lifesteal,Chance to get some health back when damaging enemies.,4,20,2,cast,healing,1,,,world,0.1
effect,partybuff,lifesteal,0,0,1,,shadow,,,,,,
spell,94,Command,Chance to do more damage/healing.,4,20,2,cast,summon,1,,,world,0.1
effect,partybuff,command,0,0,1,,light,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,100,Atrophy,Weaken a group of enemies so they do less damage.,2,25,,cast,spelldam,1,,,oneenemygroup,0.05
effect,statuseffect,weak,0,0,1,,fire,,,,,,
spell,101,Hamstring,Slow enemies so they attack later.,2,25,,cast,melee,1,,,oneenemygroup,0.05
effect,statuseffect,slowed,0,0,1,,earth,,,,,,
spell,102,Warp Mind,Make enemies less able to effectively cast spells.,2,25,,cast,healing,1,,,oneenemygroup,0.05
effect,statuseffect,befuddled,0,0,1,,shadow,,,,,,
spell,103,Dust Cloud,Make enemies less able to make ranged attacks.,2,25,,cast,ranged,1,,,oneenemygroup,0.05
effect,statuseffect,nearsighted,0,0,1,,ranged,,,,,,
,,,,,,,,,,,,,
spell,104,Curse,Curse a group of enemies to lower their effective level.,3,50,,cast,healing,1,,,oneenemygroup,0.025
effect,statuseffect,cursed,0,0,1,,shadow,,,,,,
spell,105,Wither,Cause enemy stats to wither away.,3,50,,cast,spelldam,1,,,oneenemygroup,0.025
effect,statuseffect,withered,0,0,1,,ice,,,,,,
spell,106,Feint,A quick move that sometimes makes enemies forget what they were doing.,3,50,,cast,melee,1,,,oneenemygroup,0.025
effect,statuseffect,clumsy,0,0,1,,melee,,,,,,
spell,107,Distract,SQUIRREL! Enemies get distracted and sometimes attack the wrong thing.,3,50,,cast,ranged,1,,,oneenemygroup,0.025
effect,statuseffect,confused,0,0,1,,ranged,,,,,,
,,,,,,,,,,,,,
spell,108,Enrage,Make enemies go berserk and just start mashing random abilities.,4,100,,cast,melee,1,,,oneenemygroup,0.01
effect,statuseffect,berserk,0,0,1,,melee,,,,,,
spell,109,Icy Grasp,Fix enemies to a spot so that they can't melee attack.,4,100,,cast,spelldam,1,,,oneenemygroup,0.01
effect,statuseffect,root,0,0,1,,earth,,,,,,
spell,110,Silence,Silence a group of enemies and prevent them from casting spells.,4,100,,cast,healing,1,,,oneenemygroup,0.01
effect,statuseffect,silence,0,0,1,,light,,,,,,
spell,111,Flashbang,A bright flash prevents enemies from using ranged combat.,4,100,,cast,ranged,1,,,oneenemygroup,0.01
effect,statuseffect,blind,0,0,1,,ranged,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AttackSpells,,,,,,,,,,,,,
spell,200,Holy Beam,Hit one or more enemies with holy damage.,1,4,1,cast,healing,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,light,,,,,,
spell,201,Holy Nova,Hit all enemies in a group with holy damage.,2,8,4,cast,healing,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,light,,,,,,
spell,202,Holy Storm,Hit all enemies with holy damage.,4,12,6,cast,healing,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,light,,,,,,
spell,203,Light Blast,Hit one or more enemies with holy damage.,3,12,3,cast,healing,2,0,100,enemy,1
effect,damage,3,1,2,1,,light,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,210,Fireball,Hit one or more enemies in a group with fire damage.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,fire,,,,,,
spell,211,Flamestrike,Hit all enemies in a group with fire damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,fire,,,,,,
spell,212,Firestorm,Hit all enemies with fire damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,fire,,,,,,
spell,213,Fire Blast,Hit one or more enemies in a group with fire damage.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,fire,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,220,Frostbolt,Hit one or more enemies in a group with cold damage.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,ice,,,,,,
spell,221,Cone of Cold,Hit all enemies in a group with cold damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,50,1.25,1,,ice,,,,,,
spell,222,Blizzard,Hit all enemies with cold damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,ice,,,,,,
spell,223,Icy Blast,Hit one or more enemies in a group with cold damage.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,ice,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,230,Lightning Bolt,Hit one or more enemies with electric damage.,1,4,1,cast,melee,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,electric,,,,,,
spell,231,Chain Lightning,Hit all enemies in a group with electric damage.,2,8,4,cast,melee,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,electric,,,,,,
spell,232,Lightning Storm,Hit all enemies with electric damage.,4,12,6,cast,melee,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,electric,,,,,,
spell,233,Electric Blast,Hit one or more enemies with electric damage.,3,12,3,cast,melee,2,0,100,enemy,1
effect,damage,3,1,2,1,,electric,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,240,Poison Arrow,Hit one or more enemies with nature damage.,1,4,1,cast,ranged,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,nature,,,,,,
spell,241,Poison Spray,Hit all enemies in a group with nature damage.,2,8,4,cast,ranged,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,nature,,,,,,
spell,242,Plaguestorm,Hit all enemies with poisonous nature damage,4,12,6,cast,ranged,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,nature,,,,,,
spell,243,Poison Blast,Hit one or more enemies with nature damage.,3,12,3,cast,ranged,2,0,100,enemy,1
effect,damage,3,1,2,1,,nature,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,250,Arcane Missiles,Hit one or more enemies with arcane damage.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,arcane,,,,,,
spell,251,Arcane Explosion,Hit all enemies in a group with arcane damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,arcane,,,,,,
spell,252,Magestorm,Hit all enemies with arcane damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,arcane,,,,,,
spell,253,Arcane Blast,Hit one or more enemies with arcane damage.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,arcane,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,260,Darkbolt,Hit one or more enemies with shadow damage.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,shadow,,,,,,
spell,261,Shadow Burst,Hit all enemies in a group with shadow damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,shadow,,,,,,
spell,262,Nightstorm,Hit all enemies with shadow damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,shadow,,,,,,
spell,263,Night Blast,Hit one or more enemies with shadow damage.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,shadow,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,270,Shards,Hit one or more enemies with earthen shards.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,earth,,,,,,
spell,271,Groundburst,Hit all enemies in a group with earth damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,earth,,,,,,
spell,272,Earthquake,Hit all enemies with earth damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,earth,,,,,,
spell,273,Shards,Hit one or more enemies with earthen shards.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,earth,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
spell,280,Acid Bolt,Hit one or more enemies with acid.,1,4,1,cast,spelldam,1,0,100,enemy,1
effect,damage,3,0.5,1.5,1,,acid,,,,,,
spell,281,Acid Spray,Hit all enemies in a group with acid damage.,2,8,4,cast,spelldam,1,0,100,oneenemygroup,0.2
effect,damage,3,0.5,1.25,1,,acid,,,,,,
spell,282,Acidic Wave,Hit all enemies with acid damage.,4,12,6,cast,spelldam,1,0,100,allenemies,0.01
effect,damage,3,0.5,1,1,,acid,,,,,,
spell,283,Acid Blast,Hit one or more enemies with acid.,3,12,3,cast,spelldam,2,0,100,enemy,1
effect,damage,3,1,2,1,,acid,,,,,,
